id;baseline_response;kg_response;bert_similarity_baseline;bert_similarity_kg;bert_similarity_diff
_1065006490891767808;"le malattie sono legate all'immigrazione; 2) gli immigrati portano epidemie."; Non specificabile dal post.;0.8290189504623413;0.1488533914089203;-0.680165559053421
_1092678788087975936; gli immigrati sono disertori (il parlante / associa il gruppo di persone all'azione di fuggire dalla loro patria in guerra).; Non specificabile dal post.;0.7214314937591553;0.1214034184813499;-0.6000280752778053
_1073306954154590213;"in Finlandia, Svezia e Gran Bretagna, molti stupri di bambine sono stati commessi da immigrati musulmani; 2) le autorità cercano di nascondere i crimini degli immigrati."; Non specificabile dal post.;0.6691904067993164;0.0961338579654693;-0.573056548833847
_1044292200010526720;"gli africani sono fisicamente bellissimi; 2) le donne italiane apprezzano i ragazzi africani."; Non specificabile dal post.;0.5812450051307678;0.0598696134984493;-0.5213753916323185
_1092293262172450833;"l'islam non è integrabile con la religione cristiana; 2) gli islamici fanno il comunismo per avere voti."; Non specificabile dal post.;0.6544135808944702;0.1723036468029022;-0.482109934091568
;gli italiani sono discriminati perché sono sgravi fiscali per tutti i rom.; i rom sono ladri.;0.6866722702980042;0.2798705101013183;-0.4068017601966858
_1118590423071637504; il Corano è stato creato per stuprare bambine e rubare cadaveri innocenti (il Corano / essere solo un mezzo per stuprare bambine e derubare i cadaveri innocenti).; Bin SALMAN fa guerra contro la Russia e la Cina.;0.6029685735702515;0.216007113456726;-0.3869614601135254
_849129760521424896;Rom sono pericolosi; gli rom sono ladri.;0.9063000679016112;0.5263888835906982;-0.3799111843109131
_1050863718442110978; i rom non lavorano (i rom, non essere interessati al lavoro).; i rom sono ladri, sporchi e infastidiscono gli altri.;0.8535385131835938;0.4755217432975769;-0.3780167698860168
_1076183492533407744;"la ministra Trenta critica Salvini; 2) la ministra Trenta sostiene che l'Islam non è terrorismo."; Non specificabile dal post.;0.4506208002567291;0.0967848226428031;-0.3538359776139259
_1043794672592785414;"gli stranieri non sono degni di spese pubbliche; 2) i ragazzi italiani dovrebbero essere prioritari nella scelta delle spese pubbliche."; Non specificabile dal post.;0.5048076510429382;0.1633616536855697;-0.3414459973573684
_1113804565764243457; i rom sono delinquenti.;" rom_sinti sono-delinquenti;";0.8402999043464661;0.5195515155792236;-0.3207483887672424
; i rom lavorano nei lavori da #rom (il parlante / associa il gruppo di persone all'azione di lavorare in determinati settori).; Non specificabile dal post.;0.4392697513103485;0.134528174996376;-0.3047415763139725
_1047180145533042689; gli ebrei sono avidi (il parlante / associa il gruppo di persone all'azione di accumulare ricchezze); Non specificabile dal post.;0.3239545226097107;0.0262655597180128;-0.2976889628916979
_1050871208114294785;l'islam riserva un trattamento maleattivo alle donne.; gli islamici sono violenti.;0.8989090919494629;0.6028897762298584;-0.2960193157196045
_1054703443942821888; i migranti africani ignoranti e non lavorano (i migranti africani, essere ignari e non lavorare).; le minoranze etniche non lavorano;0.7966899871826172;0.5040958523750305;-0.2925941348075866
_1076097312957575168; i nigeriani e ghanesi non sono profughi (i nigeriani e ghanesi, non essere profughi).; i nigeriani e gli ghanesi sono finti profughi.;0.8075600266456604;0.52058345079422;-0.2869765758514404
_1052091428074078209; i migranti ostili uniscono le loro forze per linciare gli agenti (migrante / essere ostili, agente di polizia / essere lincia).; i migranti controllano interi rioni.;0.7458858489990234;0.4606635868549347;-0.2852222621440887
;le persone islamiche sono feciache.; le feccie islamiche sono una cosa bella.;0.5685530304908752;0.2844554185867309;-0.2840976119041443
_1072831193714999301; la religione dell'Islam è violenta (il parlante / associare l'Islam alla violenza).;"Islam moderato non esiste; 2) La teoria del politicamente correttissimo sostiene che l'Islam sia una religione di pace, ma questo è falso poiché tanti musulmani non si fanno esplodere.";0.8807187676429749;0.608963131904602;-0.2717556357383728
_1084532060411387905; gli immigrati abusano delle donne (gli immigrati / abusare).; tunisini stuprano donne;0.8356674909591675;0.5676852464675903;-0.2679822444915771
_1074689285146730497; i migranti possono fare quello che vogliono e restare impuniti (i migranti, avere il potere di fare quello che vogliono e rimanere impuniti).; gli immigrati stanno invadendo l'Italia.;0.62884521484375;0.3621745705604553;-0.2666706442832947
_1075499313432850432;gli immigrati stanno rubando il lavoro, spacciano la droga e invadono l'Italia.; gli immigrati sono ladri.;0.8858282566070557;0.6374688744544983;-0.2483593821525573
_1124273085098745857;"africani fanno violenze in proporzione ai vostri cari italiani.
   Sturpri, aggressioni gratuite, sevizie, omicidi tribali kabobo...ecc."; i migranti compiono violenze in proporzione ai propri cari contro gli italiani.;0.8132753372192383;0.5687823295593262;-0.2444930076599121
_1077025818164035584;centri islamici sono violenti.; i centri islamici dovrebbero essere chiusi perché l'Islam è un culto violento mascherato da religione.;0.8237810134887695;0.5807097554206848;-0.2430712580680847
_1081601673737486336; l'Italia tende a proteggere cani e maiali piuttosto che rifugiati falsi (il parlante / associa il gruppo di persone all'azione di priorizzare gli animali rispetto ai rifugiati).; Non specificabile dal post.;0.4582929909229278;0.218888446688652;-0.2394045442342758
