id;baseline_response;kg_response;BASE_EVAL_1;KG_EVAL_1;Stereo_eval_1;BASE_EVAL_2;KG_EVAL_2;Stereo_eval_2;BASE_EVAL_3;KG_EVAL_3;Stereo_eval_3
_1074382433653571584;l'Islam è incompatibile con la democrazia e con i diritti umani (l'Islam, essere incompatibile con la democrazia e i diritti umani).;l'islam è incompatibile con la democrazia e i diritti umani.;3;3;SI;3;4;NO;4;4;SI
_1062762323620884481;"le donne africane sono solo da usare; le donne europee hanno pensiero comune sbadato.";gli immigrati ingannano gli italiani.;2;3;NO;1;4;NO;1;2;NO
_841267224455315457;#RomaOstia / causare furti (#RomaOstia / causare).;i rom sono ladri;1;1;NO;1;4;NO;1;2;NO
_1050871208114294785;l'islam riserva un trattamento maleattivo alle donne.;gli islamici sono violenti.;3;2;NO;5;3;SI;4;2;SI
_1122185432257716225;" sono state istruite con gli slogan comunisti ""Falce e martello, padroni al macello"" come i maoisti con i versetti del Corano ""Uccidete i cani infedeli"" (massa / essere stata istruita con un messaggio violento e discriminatorio).";le persone istruite con gli slogan comunisti sono padroni al macello.;1;1;NO;1;2;NO;1;1;NO
_824178773859954689;è stata condannata una zingara rom (zingara rom / essere condannata).;le zingare rom mentono.;1;1;NO;1;4;NO;1;1;NO
_834125776299683840;gli immigrati sono caratterizzati da caos e furti (gli immigrati / essere caratterizzati da caos e furti).;gli immigrati sono criminali.;1;1;SI;3;4;SI;1;2;NO
_1046357156633759744;la polizia non può fare nulla contro gli immigrati (il parlante / associa il gruppo di persone all'azione di impedire le azioni della polizia).;Non specificabile dal post.;2;1;SI;1;1;NO;2;1;NO
_1104311834574766081;il campo nomadi di Castel Romano è tossico (il campo nomadi di Castel Romano / essere tossico).;gli zingari sono ladri;3;1;NO;3;3;SI;1;1;SI
_1076183492533407744;"la ministra Trenta critica Salvini; 2) la ministra Trenta sostiene che l'Islam non è terrorismo.";Non specificabile dal post.;1;1;NO;3;1;NO;1;1;NO
_1040670006147776514;il PD dà fondi agli immigrati e li toglie a disabili (il PD, dare fondi agli immigrati e ritirarli ai disabili).;gli immigrati sono criminali.;4;1;SI;4;3;SI;5;1;SI
_1113829412582170624;i nomadi sono spacciatori delinquenti mafiosi ladri (i nomadi / essere spacciatori delinquenti mafiosi ladri).;" i rom sono ladri, delinquenti e mafiosi;
    i rom sono minaccia per la società.";5;5;NO;4;4;SI;5;5;SI
_826618687591415809;i rom sono ladri (i rom, essere ladri).;rom_sinti sono ladri.;1;1;SI;4;4;SI;3;3;SI
_1045218387415183360;le organizzazioni non governative sono Pseudo ong che guardano più alla tasca che alla salute (le organizzazioni non governative).;le ong non garantiscono la salute;5;3;SI;4;3;NO;5;2;SI
_1052470608758484992;"immigrati devono pagare volontariamente una tassa per l'accoglienza, case popolari, sanità, scuola e altre spese solo loro. ""noi cattivisti ci siamo rotti di pagare x questi parassiti"".";gli immigrati sono parassiti;1;5;NO;2;5;NO;1;5;NO
_829592440277450752;5 famiglie rom hanno sequestrato un tesoro di 30 milioni di euro.;le famiglie rom sono ladre.;2;2;NO;1;5;NO;2;5;NO
_1039886625994694656;gli immigrati non lavorano ma delinquono (gli immigrati / delinquere).;" gli immigrati sono criminali;
    gli immigrati non lavorano ma delinquono.";3;3;SI;4;4;SI;4;4;SI
;le invasioni musulmane sono il dramma (le invasioni musulmane / essere il dramma).;gli musulmani sono minaccia.;3;2;SI;3;5;SI;2;3;NO
;"i rom visitano Baggio;
   2) le promesse fatte da Pier Marani non sono state mantenute.";i rom sono una minaccia;1;3;NO;1;4;NO;1;3;NO
_1054038840338452482;il parlante si definisce nomadi (il parlante, essere nomadi).;i rom sono nomadi.;1;1;NO;1;3;NO;1;1;NO
_1112491711522062341;gli abitanti della comunità LGBT sono promiscuosi (il parlante / associare il sesso al comportamento immorale).;"Minori etnici non valgono più di anale e dildo; 2) Figli non servono ad essere famiglia; 3) Il sesso che dà figli non è valore per i gay; 4) Femministe possono uccidere embrioni; 5) La sinistra sostituisce gli italiani con gli stranieri; 6) Burioni sono infetti.";1;1;NO;1;1;NO;1;1;SI
;gli italiani sono discriminati perché sono sgravi fiscali per tutti i rom.;i rom sono ladri.;1;1;SI;2;4;NO;1;2;NO
_1092112050875174914;le donne sono responsabili delle morti e ferite di donne (le donne / essere valvola di sfogo per uomini arrabbiati).;"donne sono le valvoli di sfogo degli uomini arrabbiati; 2) l'islam è un vento sparpagliato nei cieli di donne.";1;1;NO;1;3;NO;1;1;NO
_842465763806052357;nessun rom cerca lavoro in Italia (nessuno / rom, cercare lavoro).;i rom sono ladri;4;1;SI;2;4;NO;3;2;SI
_1042516782664306688;le politiche economiche del governo sono state errate come l’austerity (le politiche economiche).;il governo spende troppo per migranti;1;4;NO;2;4;NO;1;3;NO
_1052931090883710976;gli stranieri non dovrebbero rispettare le regole religiose e politiche in Italia (gli stranieri / non dovero rispettare le regole religiose e politiche in Italia).;gli immigrati spaccano croci, bruciano effigi e devono essere puniti.;3;4;NO;1;4;NO;1;3;NO
_1086567525184352256;"il comune PD paga €1200 al mese ai profughi (comune PD / pagare; profugo, essere pagato).";gli immigrati sono approfittatori.;3;3;NO;1;5;NO;2;3;SI
_1074414143262912512;gli immigrati sono incazzati (gli immigrati / avere uno stato di rabbia).;Gli immigrati sono incazzati, protestano contro Salvini e stanno invadendo l'Italia.;1;1;NO;2;3;NO;1;2;NO
;immigrati illegali devono essere rimpatriati collettivamente, più carceri e detenzione forzata per gli immigrati illegali.;" gli immigrati illegali sono inferiori; sono truffatori; sono parassiti; portano malattie; sono terroristi; sono violenti; invadono l'Italia; sono irregolari. Sono criminali; stuprano; non rispettano la legge; sono truffatori";3;1;NO;3;3;SI;5;2;SI
_785498796365086721;gli uomini definiti politici rubano pensioni (gli uomini / rubare pensioni).;" i rom sono ladri;
    i rom banche finocchi rubano pensioni e s...";1;1;NO;1;2;NO;1;2;NO
;" i ""bianchi"" vengono discriminati a favore di rom (i ""bianchi"" / essere discriminati).";gli rom sono avvantaggiati;2;3;SI;2;5;NO;5;5;SI
_845030136584065024;le pagine Facebook che vendono orologi truffano (le pagine Facebook che vendono orologi / truffare).;pagine Facebook che vendono orologi truffano rom sinti.;1;2;NO;2;2;NO;1;1;NO
_1050288988228071424;" chiossi\_manuela e AlfonsoBonafede hanno la stessa opinione (chiossi\_manuela / avere lo stesso punto di vista; AlfonsoBonafede / avere lo stesso punto di vista).";gli stranieri criminali sono parassiti.;1;3;NO;1;4;NO;1;3;NO
_839358622375247875;gli individui rom concepiscono i figli per poi mandarli a elemosinare (individuo rom / essere padri, figlio di un individuo rom / essere messo in elemosina).;i figli non si possono fare garantiti a meno che non si facciano come rom.;1;1;SI;3;1;NO;3;1;SI
