id;baseline_response;kg_response;bert_similarity_baseline;bert_similarity_kg;bert_similarity_diff
_1113610599748046858;gli stranieri delinquono.;i magistrati non condannano gli stranieri.;0.9412040114402772;0.4168126583099365;-0.5243913531303406
_titoli-cri-297;gli immigrati invadono l'Italia.;George Soros finanzia l'invasione degli immigrati, sono violenza, irregolari, parassiti.;0.8797435164451599;0.4189565181732178;-0.4607869982719421
_828859365738295297;i rom frugano tra i rifiuti.;i rom sono ladri, non hanno cura di sé, sono aggressivi, inferiori, truffatori, criminali, non si integrano.;0.6605154871940613;0.2143543809652328;-0.4461611062288284
_1074427963482013703;i migranti fanno lavorare i contribuenti italiani.;i migranti sono disoccupati.;0.8580476641654968;0.4264392256736755;-0.4316084384918213
_839566555721699331;i rom fanno scartare.;i rom non buttano via nulla, si presentano sempre per ritirare i materiali previsti e sono ladri.;0.7718372941017151;0.3433767557144165;-0.4284605383872986
_1076183492533407744;gli islamici disprezzano la nostra cultura.;la ministra Trenta disprezza la cultura italiana.;0.667523980140686;0.2678946256637573;-0.3996293544769287
;il governo del cambiamento invaderà l'Italia con gli immigrati.;gli immigrati sono violenti, criminali, inferiori, ladri, truffatori.;0.8644577264785767;0.4650022089481354;-0.3994555175304413
_1050871208114294785;l'Islam opprime le donne.;gli islamici sono violenti, pericolosi, estremisti, minacciosi, inferiori, approfittatori, selvaggi, non rispettano la legge e invadono l'Italia.;0.8714786767959595;0.4885944128036499;-0.3828842639923095
_1050106564567281664;i migranti sono stupratori.;non posso fornire una risposta in base alle informazioni fornite. Il post contiene un linguaggio violento ed offensivo, che non può essere interpretato in modo neutrale o con precisione.;0.5196481347084045;0.1813211143016815;-0.338327020406723
_1071620098383900672;i radical chic sono sottomessi all'Islam.;gli immigrati sono mantenuti dagli Italiani, rendono il paese meno sicuro, sono asociali.;0.598070502281189;0.2727077603340149;-0.3253627419471741
_1040912213882691584;gli extracomunitari stanno soffocando gli italiani.;gli immigrati vogliono essere mantenuti.;0.7162090539932251;0.3954854607582092;-0.3207235932350158
_1123361622091796480;i delinquenti e i terroristi sono del tipo che viene dall Libia.;i terroristi sono al Baghdadi.;0.5618541836738586;0.2437403202056884;-0.3181138634681701
_1054036676148912129;gli immigrati portano malattie gravi.;gli immigrati sono misogini, violenti, parassiti, musulmani, criminali, selvaggi, mendicanti, ladri, irregolari, inferiori, spacciatori.;0.893572211265564;0.5918514728546143;-0.3017207384109497
_1084532060411387905;gli immigrati fanno abusare le donne.;gli immigrati sono selvaggi, terroristi, parassiti, animali.;0.8623049259185791;0.5692246556282043;-0.2930802702903747
_1117793948641177601;i migranti libici fanno invadere l'Italia e l'Europa.;i migranti libici sono criminali, jihadisti, parassiti, ladri, terroristi.;0.8487991690635681;0.5619699954986572;-0.2868291735649109
_1055081714224164864;gli stranieri fanno la spaccio.;gli stranieri spacciano la droga.;0.9570512771606444;0.6703047752380371;-0.2867465019226074
_1068211329746563073;i migranti stanno invadendo l'Italia.;gli immigrati sono parassiti, selvaggi, criminali, non-rispettosi della legge, invasori dell'Italia, spacciatori, autoritari, ingrati.;0.9481667876243592;0.6734030246734619;-0.2747637629508972
