id;baseline_response;kg_response;BASE_EVAL_1;KG_EVAL_1;Stereo_eval_1;BASE_EVAL_2;KG_EVAL_2;Stereo_eval_2;BASE_EVAL_3;KG_EVAL_3;Stereo_eval_3
_843771766984052736;i politici fanno i burattini ai migranti.;i migranti sono inferiore, violenti, selvaggi, ladri, animali, mantenuti, inferiori, minacciosi.;3;1;NO;2;4;SI;1;2;SI
_1051458621425557504;gli afro-italiani sono sporchi, luridi, ladri, spacciatori, assassini, stupratori e terroristi.;gli africani sono parassiti, sporchi, luridi, ladri, spacciatori, assassini, stupratori, terroristi.;1;1;SI;2;2;SI;2;2;SI
_1089980049447636994;i migranti rubano lavori ai bambini.;i migranti rubano lavori ai loro figli.;1;1;NO;3;3;NO;1;1;NO
_836984365628305408;l'anima nera della politica sono l'islamismo radicale.;i politici islamicisti sono violenti.;1;1;NO;1;3;NO;1;1;SI
_1091732214377861120;gli stupratori, i rom assassini sono criminali.;i rom sono assassini, ladri.;2;3;NO;2;4;NO;2;4;SI
_1041605151298084864;i giovani italiani sono degli scrocconi.;i giornalisti proteggono gli stranieri.;1;5;SI;1;5;SI;1;5;SI
_1049401558268563456;i finti profughi hanno rotto i coglioni.;gli immigrati sono parassiti, selvaggi, violenti, pigri, truffatori, criminali, terroristi.;2;1;SI;1;2;NO;3;1;SI
_1068211329746563073;i migranti stanno invadendo l'Italia.;gli immigrati sono parassiti, selvaggi, criminali, non-rispettosi della legge, invasori dell'Italia, spacciatori, autoritari, ingrati.;5;1;SI;4;2;SI;5;2;SI
;i bosniaci fanno rissa in campo nomadi.;il bosniaco è violento, terrorista.;2;5;NO;2;5;NO;2;5;NO
_1087433221149769729;i rom circondano il cimitero.;i rom sono parassiti, ladri, criminali, minaccia, invasori, sporchi.;2;5;SI;1;4;NO;1;3;NO
_1083002745492332544;i migranti sono colpevoli di gravi reati.;i migranti sono criminali, spacciatori, ladri, ingrai, violenti, approfittatori e invadono l'Italia.;4;5;SI;1;4;NO;4;3;SI
_815573174578462721;i nomadi si permettono tutto, prendono in giro la gente.;i rom sono sporchi, ladri, parassiti, violenza, autoritari, benestanti.;2;1;SI;3;4;SI;2;3;SI
_1112491711522062341;"i figli non servono; i bambini si comprano; gli stranieri sono sostituibili ai bambini.";i figli non servono a essere famiglia, i gay comprano bambini, le femministe uccidono embrioni se sono infetti, gli stranieri sostituiscono i figli, i minoranza etnica sono truffatori, criminali, avvantaggiati, minaccia, terroristi, parassiti, approfittatori, feccia, criminali, migranti, irregolari, rovinano l'Italia, sono mantenuti.;1;3;NO;1;1;SI;1;1;NO
