id;baseline_response;kg_response;BASE_EVAL_1;KG_EVAL_1;Stereo_eval_1;BASE_EVAL_2;KG_EVAL_2;Stereo_eval_2;BASE_EVAL_3;KG_EVAL_3;Stereo_eval_3
_1115271514046259202;gli immigrati sono pericolosi.;La stessa associazione che ti definisce razzista se sei contrario ad una immigrazione selvaggia e incontrollata.;5;1;SI;5;2;SI;5;1;SI
_1092020219080597505;l'islam è incompatibile con la civiltà.;L'Islam è incompatibile con la civiltà.;5;5;SI;3;3;NO;3;3;SI
_1073133417817096193;i migranti africani scroccono il wifi in hotel.;Gli immigrati africani scroccono il wifi in hotel e alimentano il business delle coop.;1;4;SI;3;2;NO;1;3;SI
_837269070567378945;le persone rom sono criminali.;I rom sono ladri.;1;1;NO;3;3;SI;1;1;SI
_840977044796264448;I rom sono falsi invalidi per commuovere.;rom_sinti sono ladri;3;3;NO;3;3;NO;4;4;SI
_1040649835576209409;I migranti italiani in Belgio/Lussemburgo stavano nelle condizioni che si vedono.;i migranti sono parassiti;1;5;NO;1;5;NO;1;5;NO
_1071115367437778945;i migranti sono delinquenti.;Gli immigrati sono delinquenti ed economici.;5;5;SI;5;3;SI;5;4;SI
_1058420170203504641;gli avvocati pagano i migranti.;gli immigrati sono criminali;1;1;NO;1;4;NO;1;2;NO
_809176345750011905;i rom e i magrebini sono addetti allo spaccio.;La terra è diventata terre di rom e magrebini addetti allo spaccio .;1;2;NO;2;2;NO;1;2;SI
_1055723237353668609;gli immigrati delinquono, stuprano è uccidono con ferocia.;gli immigrati sono violenti;3;3;SI;3;5;NO;4;5;SI
_1071770329478021120;i rom e gli immigrati stanno rovinando le zone residenziali.;L'#immigrazione di rom e altre persone ha reso la zona meno sicura e ha fatto diminuire il valore delle case.;1;1;SI;4;3;SI;1;1;SI
;cani sono bestie impure.;Bestie impure, offendono l'Islam;1;1;NO;1;1;NO;1;1;NO
_1073277543254540288;gli immigrati vendono droga.;Gli immigrati in Svizzera sono ordinati e civili.;5;1;SI;5;1;SI;5;1;SI
_1089078966818951170;Gli immigrati mandano le donne a prostituirsi, vendono merce contraffatta e si ubriacano.;immigrati sono pericolosi;4;1;NO;4;3;SI;2;1;SI
_1043951293998477312;"i migranti dovrebbero essere trattati come una ""pacchia"" da Padre Pio.";i migranti sono un problema;1;4;NO;1;4;NO;1;2;NO
_1051986095003627520;Gli immigrati sono parassiti.;immigrati sono parassiti;3;3;SI;4;4;SI;4;4;SI
_836331148993314816;le rom molestano le persone.;i rom sono violenti;1;1;SI;3;4;SI;1;1;SI
_1051462315042897921;i musulmani non rispettano la laicità della Repubblica Italiana.;I musulmani non rispettano la laicità italiana.;4;5;NO;5;5;SI;5;5;SI
_1091845169522069505;l'elite mondiale è criminale.;Mussulmani sono la peggior FECCIA della CRIMINALITÀ UMANITARIA planetaria.;1;4;NO;1;3;NO;1;2;NO
_1104311834574766081;i campi nomadi sono pericolosi.;i rom sono pericolosi;1;1;SI;3;4;NO;1;1;SI
_1058064411955523584;gli immigrati sono giovani e delinquenti.;Gli immigrati sono delinquenti.;5;5;NO;2;4;NO;3;5;NO
_1040662770700742656;i migranti economici lavorano sodo.;Gli immigrati dovrebbero lavorare duramente e non aspettarsi benefici.;1;2;NO;2;4;NO;1;2;NO
_1083679649354448898;I gay e le lesbiche saranno massacrati se l'Islam prenderà piede.;gay e lesbiche sono in pericolo;2;1;SI;3;1;NO;1;1;NO
_1090980606870204419;i rom e gli immigrati sporcano le città, rubano e usano la sanità italiana.;Immigrati e rom sporcano le nostre città, rubano e usano la sanità pagata dagli italiani.;5;5;NO;4;4;SI;4;4;SI
_839566555721699331;I rom ritirano quello previsto afacrocazz.;i rom sono sporchi;1;2;NO;1;5;NO;1;4;NO
_1041036737521311745;i rom sono stupratori.;Gli immigrati sono criminali e violenti.;1;2;NO;2;4;NO;1;3;SI
_1074360989724893184;gli italiani non vogliono essere islamisati da immigrati.;Gli italiani devono venire prima degli immigrati.;1;1;NO;4;3;NO;2;1;SI
;La Raggi pensa ai rom e ai vegani.;i rom sono una priorità;3;3;NO;2;3;NO;2;3;NO
_1123237628659347457;Gli immigrati violentano, ammazzano e spadroneggiano.;immigrati sono criminali;2;3;SI;3;4;SI;3;4;NO
_1075465688767184898;I rom uccidono senzatetto.;i rom sono criminali;1;1;NO;2;3;NO;1;1;NO
_1065006490891767808;Le epidemie sono legate all'immigrazione.;immigrati portano malattie;4;5;SI;2;5;NO;3;5;SI
_1090354331264712711;gli immigrati sono schifosi.;Gli immigrati sono clandestini e schifosi .;1;1;NO;3;3;NO;1;1;SI
_783675694203146240;i campi rom costano molto denaro.;I rom vivono in campi.;2;1;NO;4;2;SI;3;1;NO
_1069896436123357190;gli immigrati chiedono l'elemosina.;i immigrati sono parassiti;2;3;;3;4;SI;1;4;SI
;i rom sono clandestini.;I immigrati sono clandestini e dovrebbero essere puniti.;1;5;NO;2;5;NO;4;3;SI
_1044878480234754049;i rom sono venditori porta a porta.;Gli immigrati rom sono criminali.;1;4;NO;1;4;NO;1;1;NO
_1050001276120064000;La UE sputa in faccia agli italiani.;Gli italiani non ricevono aiuto finanziario dalla UE mentre i migranti sì.;3;5;SI;1;5;NO;4;5;NO
_1040728335091945472;gli africani sono parassiti.;Gli immigrati africani sono parassiti che vogliono essere mantenuti a vita da noi italiani.;5;5;SI;3;3;SI;5;5;SI
_1077140375767302144;I rifugiati siriani non lavorano ma hanno comunque case, mogli e figli.;immigrati sono pericolosi;2;2;NO;2;4;NO;3;1;SI
