id;baseline_response;kg_response;bleu_similarity_baseline;bert_similarity_baseline;rouge_similarity_baseline;bleu_similarity_kg;bert_similarity_kg;rouge_similarity_kg;bert_similarity_diff
_1050854890908655618;i migranti clandestini africani sono delinquenti.;I PDIOTI SLARP SLARP ZERBINI DEI POTERI FORTI DELLE LOBBYES DELLE BANCHE SLARP SLARP😁😂 DI BRUXELLES CONTRO IL POPOLO ITALIANO.;0.1374292659508281;0.9482482671737672;0.7272727272727272;0.0;0.2556657195091247;0.08;-0.6925825476646423
_1040955384012386305;Gli africani arrivano senza nessuna ragione se non quella di godere della nostra ricchezza.;immigrati sono un pericolo per l'Italia;0.0175854218944089;0.7180330753326416;0.2222222222222222;0.0375934046415699;0.2474088072776794;0.1818181818181818;-0.4706242680549621
_1055847291276292098;i migranti sono spacciatori.;sono loro i razzisti non gli italiani;0.1682189500334145;0.9287477135658264;0.5714285714285715;0.0323593484897578;0.4608899652957916;0.2;-0.4678577482700348
_1091754513042673665;i migranti sono molestatori e spacciatori.;Gli immigrati sono una minaccia per l'Italia.;0.5081327481546147;0.9722988605499268;0.8;0.0323593484897578;0.519580066204071;0.1666666666666666;-0.4527187943458557
_836864666173341696;i rom sono pericolosi.;Ve lo auguro un bel campo rom sotto casa a tutti voi in studio;0.261698736230754;0.8139358758926392;0.6;0.0231437167620374;0.3708968758583069;0.1;-0.4430390000343323
_1076097312957575168;i nigeriani e i ghanesi non sono profughi.;I immigrati nigeriani e ghanesi si godono la paghetta per gli stravizi.;0.0712272271013262;0.8453903198242188;0.4615384615384615;0.020044994979069;0.4241285920143127;0.1176470588235294;-0.421261727809906
_1052931090883710976;i migranti spaccano croci bruciano effigi.;fanculo loro 😈;0.0589409305346402;0.6223180294036865;0.2666666666666666;0.0;0.2121246457099914;0.0;-0.410193383693695
_807883975406587905;i ragazzi rom sono criminali.;Gli investigatori credono che i rom siano responsabili della morte di una ragazza cinese.;0.1341419505182476;0.9406190514564514;0.888888888888889;0.041263216881455;0.5371469855308533;0.2222222222222222;-0.4034720659255981
_1091336120590311424;i migranti clandestini sono delinquenti.;L'#immigrazione incontrollata di delinquenti clandestini ha causato la morte di Pamela.;0.1341419505182476;0.949134647846222;0.6666666666666665;0.0;0.5500025153160095;0.0;-0.3991321325302124
_1072225548120875009;gli immigrati invadono l'Italia.;si fa ? Ci facciamo invadere ? Regahliamo Italia a chi? Dobbiamo espatriare ?Tra poco siamo 10 miliardi al mondo che si fa si regala tutto a tutti ?;0.0;0.8797435164451599;0.3636363636363636;0.0095656651092568;0.5063748359680176;125;-0.3733686804771423
